,Serial,SMILES,Bit_0,Bit_1,Bit_2,Bit_3,Bit_4,Bit_5,Bit_6,Bit_7,Bit_8,Bit_9,Bit_10,Bit_11,Bit_12,Bit_13,Bit_14,Bit_15,Bit_16,Bit_17,Bit_18,Bit_19,Bit_20,Bit_21,Bit_22,Bit_23,Bit_24,TC,SA,Gen
34,"[29, 1, 0, 26, 15]",O=C([*])Nc1ccc(NC(=O)CCCCCCC=CC(=O)c2ccc(Nc3ccc4nc([*])[nH]c4c3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.396,-3.1770556464488813,3
35,"[25, 8, 11, 12, 29]",O=C([*])Nc1ccc(NC(=O)c2cnc(C(=O)c3ccc(C(=O)OC(=O)NC(=O)c4ccc([*])cc4)cc3)nc2)cc1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.544,-3.3113119922414906,3
38,"[29, 19, 9, 13, 5]",O=C([*])Nc1ccc(NC(=O)C(=O)NNC(=O)c2ccc(Nc3ccc(Nc4ccc5cc([*])ccc5c4)cc3)o2)cc1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.405,-3.3410821363815195,3
39,"[24, 29, 8, 13, 6]",O=C(C=CC(=O)C(=O)Nc1ccc(NC(=O)OC(=O)Nc2ccc(Nc3ccc4c(c3)Cc3cc([*])ccc3-4)cc2)cc1)N[*],1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.481,-3.5502614616738413,3
43,"[28, 29, 13, 12, 15]",O=C(Nc1ccc(NC(=O)Nc2ccc(Nc3ncc(c4ccc5nc([*])[nH]c5c4)cn3)cc2)cc1)NC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.578,-3.243374376443237,4
44,"[29, 3, 0, 26, 14]",O=C([*])Nc1ccc(NC(=O)c2ccc(C=CC(=O)c3ccc(Nc4ccc5[nH]c([*])nc5c4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.455,-3.0388806631712892,4
46,"[29, 3, 8, 24, 5]",O=C([*])Nc1ccc(NC(=O)c2ccc(OC(=O)NC(=O)C=CC(=O)c3ccc4cc([*])ccc4c3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.397,-3.1967153202879324,4
54,"[28, 24, 0, 28, 13]",O=C(C=CC(=O)C=CC(=O)c1ccc(C(=O)NNc2ccc(N[*])cc2)cc1)NNC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.681,-3.317072641975151,5
55,"[25, 13, 13, 12, 29]",O=C([*])Nc1ccc(NC(=O)c2cnc(Nc3ccc(NNc4ccc(NNC(=O)c5ccc([*])cc5)cc4)cc3)nc2)cc1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.486,-3.2290850318827706,5
58,"[29, 3, 8, 26, 14]",O=C([*])Nc1ccc(NC(=O)c2ccc(OC(=O)C(=O)c3ccc(Nc4ccc5[nH]c([*])nc5c4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.438,-3.109919382391924,5
63,"[28, 29, 12, 13, 15]",O=C(Nc1ccc(NC(=O)c2cnc(Nc3ccc(Nc4ccc5nc([*])[nH]c5c4)cc3)nc2)cc1)NC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.609,-3.251009827948252,6
64,"[29, 3, 0, 29, 6]",O=C([*])Nc1ccc(NC(=O)c2ccc(C=CC(=O)Nc3ccc(NC(=O)c4ccc5c(c4)Cc4cc([*])ccc4-5)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.459,-3.1314565451233545,6
65,"[28, 29, 12, 26, 7]",O=C(Nc1ccc(NC(=O)c2cnc(C(=O)c3ccc(NOC[*])cc3)nc2)cc1)NC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.606,-3.228546109669426,6
75,"[29, 11, 8, 29, 7]",O=C([*])Nc1ccc(NC(=O)C(=O)c2ccc(C(=O)OC(=O)C(=O)Nc3ccc(NC(=O)OC[*])cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.477,-3.1672016931985265,7
76,"[29, 5, 28, 13, 14]",O=C([*])Nc1ccc(NC(=O)c2ccc3cc(NC(=O)c4ccc(C(=O)Nc5ccc(Nc6ccc7[nH]c([*])nc7c6)cc5)cc4)ccc3c2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.472,-3.0993534558985107,7
82,"[28, 26, 0, 28, 13]",O=C([*])c1ccc(C(=O)NC(=O)c2ccc(NC=CC(=O)c3ccc(C(=O)NNc4ccc(N[*])cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.776,-3.1162919765621844,8
83,"[29, 11, 8, 29, 13]",O=C([*])Nc1ccc(NC(=O)C(=O)c2ccc(C(=O)OC(=O)C(=O)Nc3ccc(NC(=O)Nc4ccc(N[*])cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.573,-3.0728992960882753,8
84,"[28, 29, 28, 13, 14]",O=C(Nc1ccc(NC(=O)NC(=O)c2ccc(C(=O)Nc3ccc(Nc4ccc5[nH]c([*])nc5c4)cc3)cc2)cc1)NC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.736,-3.1737280755122885,8
87,"[28, 24, 0, 29, 13]",O=C(C=CC(=O)C=CC(=O)Nc1ccc(NC(=O)Nc2ccc(N[*])cc2)cc1)NNC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.721,-3.1982797889970564,8
93,"[29, 3, 8, 13, 15]",O=C([*])Nc1ccc(NC(=O)c2ccc(OC(=O)Nc3ccc(Nc4ccc5nc([*])[nH]c5c4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.413,-2.9808905628368425,9
101,"[28, 29, 28, 13, 12]",O=C(Nc1ccc(NC(=O)NC(=O)c2ccc(C(=O)Nc3ccc(Nc4ncc([*])cn4)cc3)cc2)cc1)NC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.789,-3.037425245893714,10
105,"[28, 26, 0, 28, 29]",O=C([*])Nc1ccc(NC(=O)NC(=O)c2ccc(C(=O)C=CNc3ccc(C(=O)NC(=O)c4ccc(C(=O)[*])cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.744,-3.054962363545946,10
109,"[29, 3, 12, 26, 13]",O=C([*])Nc1ccc(NC(=O)c2ccc(c3cnc(C(=O)c4ccc(NNc5ccc(N[*])cc5)cc4)nc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.505,-3.1350351806228813,10
111,"[29, 7, 8, 29, 29]",O=C([*])Nc1ccc(NC(=O)OCOC(=O)C(=O)Nc2ccc(NC(=O)C(=O)Nc3ccc(NC(=O)[*])cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.527,-2.8992005518452633,11
112,"[28, 26, 0, 26, 29]",O=C([*])Nc1ccc(NC(=O)Nc2ccc(C(=O)C=CNc3ccc(C(=O)NC(=O)c4ccc(C(=O)[*])cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.744,-2.988929755280598,11
114,"[29, 3, 0, 26, 13]",O=C([*])Nc1ccc(NC(=O)c2ccc(C=CC(=O)c3ccc(NNc4ccc(N[*])cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.487,-2.9470547375438247,11
126,"[29, 7, 8, 29, 25]",O=C([*])Nc1ccc(NC(=O)OCOC(=O)C(=O)Nc2ccc(NC(=O)c3ccc(C(=O)N[*])cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.575,-2.9896840745425273,12
127,"[28, 11, 8, 29, 13]",O=C(Nc1ccc(NC(=O)Nc2ccc(N[*])cc2)cc1)C(=O)OC(=O)c1ccc(C(=O)NC(=O)c2ccc(C(=O)[*])cc2)cc1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.717,-3.035686766591895,12
129,"[28, 29, 28, 13, 5]",O=C(Nc1ccc(NC(=O)NC(=O)c2ccc(C(=O)Nc3ccc(Nc4ccc5cc([*])ccc5c4)cc3)cc2)cc1)NC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.64,-3.037902739347196,12
132,"[29, 3, 8, 29, 25]",O=C([*])Nc1ccc(NC(=O)c2ccc(OC(=O)C(=O)Nc3ccc(NC(=O)c4ccc(C(=O)N[*])cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.624,-2.7872539577542206,13
134,"[28, 26, 2, 29, 28]",O=C(Nc1ccc(NC(=O)C(=O)c2ccc(C(=O)N[*])cc2)cc1)C=CC#CNc1ccc(C(=O)NC(=O)c2ccc(C(=O)[*])cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.788,-3.4986327123482335,13
139,"[28, 29, 30, 12, 29]",O=C([*])Nc1ccc(NC(=O)c2cnc(n3c(=O)c4cc5c(=O)n(C(=O)Nc6ccc(NC(=O)NC(=O)c7ccc(C(=O)[*])cc7)cc6)c(=O)c5cc4c3=O)nc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.705,-3.682847423404483,13
142,"[29, 3, 9, 29, 25]",O=C([*])Nc1ccc(NC(=O)c2ccc(c3ccc(C(=O)Nc4ccc(NC(=O)c5ccc(C(=O)N[*])cc5)cc4)o3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.633,-2.7775764538486705,14
153,"[29, 19, 13, 28, 25]",O=C([*])Nc1ccc(NC(=O)C(=O)NNC(=O)Nc2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C(=O)N[*])cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.713,-2.8065376908328066,15
162,"[28, 29, 28, 28, 29]",O=C([*])Nc1ccc(NC(=O)NC(=O)c2ccc(C(=O)C(=O)c3ccc(C(=O)NC(=O)Nc4ccc(NC(=O)NC(=O)c5ccc(C(=O)[*])cc5)cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.795,-2.9469673467552404,16
163,"[28, 26, 0, 29, 25]",O=C(Nc1ccc(NC(=O)c2ccc(C(=O)N[*])cc2)cc1)C=CNc1ccc(C(=O)NC(=O)c2ccc(C(=O)[*])cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.824,-2.969987780719725,16
