,Serial,SMILES,Bit_0,Bit_1,Bit_2,Bit_3,Bit_4,Bit_5,Bit_6,Bit_7,Bit_8,Bit_9,Bit_10,Bit_11,Bit_12,Bit_13,Bit_14,Bit_15,Bit_16,Bit_17,Bit_18,Bit_19,Bit_20,Bit_21,Bit_22,Bit_23,Bit_24,TC,SA,Gen
235,"[29, 3, 28, 29, 25]",O=C([*])Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)C(=O)Nc4ccc(NC(=O)c5ccc(C(=O)N[*])cc5)cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.784,-2.6536236186424578,23
239,"[13, 3, 13, 29, 25]",O=C(Nc1ccc(NC(=O)c2ccc(C(=O)N[*])cc2)cc1)Nc1ccc(Nc2ccc(Nc3ccc(N[*])cc3)cc2)cc1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.549,-2.59117080558884,23
242,"[29, 3, 29, 29, 25]",O=C([*])Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)C(=O)Nc4ccc(NC(=O)c5ccc(C(=O)N[*])cc5)cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.746,-2.5617503165351074,24
247,"[28, 29, 29, 29, 25]",O=C(Nc1ccc(NC(=O)C(=O)Nc2ccc(NC(=O)C(=O)Nc3ccc(NC(=O)c4ccc(C(=O)N[*])cc4)cc3)cc2)cc1)NC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.829,-2.884938527215777,24
255,"[29, 3, 29, 28, 25]",O=C([*])Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)C(=O)c4ccc(C(=O)Nc5ccc(C(=O)N[*])cc5)cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.784,-2.6536236186424578,25
263,"[28, 25, 29, 29, 25]",O=C(Nc1ccc(NC(=O)C(=O)Nc2ccc(NC(=O)c3ccc(C(=O)N[*])cc3)cc2)cc1)NC(=O)c1ccc(NC(=O)c2ccc(C(=O)[*])cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.871,-2.782984581454688,26
272,"[29, 3, 29, 25, 25]",O=C([*])Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(C(=O)N[*])cc5)cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.799,-2.3822421875748336,27
274,"[28, 26, 28, 13, 25]",O=C([*])c1ccc(C(=O)NC(=O)c2ccc(NNC(=O)c3ccc(C(=O)Nc4ccc(Nc5ccc(C(=O)N[*])cc5)cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.859,-2.8490551542806113,27
283,"[28, 3, 28, 13, 25]",O=C([*])c1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(Nc5ccc(C(=O)N[*])cc5)cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.815,-2.4679854792802765,28
285,"[29, 3, 28, 13, 25]",O=C([*])Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(Nc5ccc(C(=O)N[*])cc5)cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.682,-2.4809884641382176,28
304,"[28, 25, 28, 29, 25]",O=C(Nc1ccc(NC(=O)c2ccc(C(=O)N[*])cc2)cc1)C(=O)c1ccc(C(=O)NNC(=O)c2ccc(NC(=O)c3ccc(C(=O)[*])cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.851,-2.7936920467079407,30
334,"[28, 29, 29, 25, 25]",O=C(Nc1ccc(NC(=O)C(=O)Nc2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C(=O)N[*])cc4)cc3)cc2)cc1)NC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.871,-2.782984581454688,33
340,"[28, 3, 29, 25, 25]",O=C(Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)N[*])cc3)cc2)cc1)c1ccc(NC(=O)c2ccc(C(=O)[*])cc2)cc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.882,-2.3667563174336514,34
347,"[25, 3, 29, 25, 25]",O=C(Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)N[*])cc3)cc2)cc1)c1ccc(NC(=O)c2ccc([*])cc2)cc1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.746,-2.4155710440852243,34
361,"[28, 25, 25, 29, 25]",O=C(Nc1ccc(NC(=O)c2ccc(C(=O)N[*])cc2)cc1)c1ccc(C(=O)NNC(=O)c2ccc(NC(=O)c3ccc(C(=O)[*])cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.884,-2.538388340603767,36
