,Index,key
0,15,2807496773
1,42,877527236
2,62,571506957
3,171,1209762633
4,241,1387332745
5,261,3372254436
6,310,1119552904
7,311,3933537673
8,356,3880388170
9,374,2509211297
10,396,3125184264
11,404,482936615
12,427,742000539
13,432,669222828
14,453,962332721
15,558,2370996728
16,589,1662454470
17,597,686197488
18,636,2115865505
19,662,3507326004
20,736,2228063684
21,765,3018722882
22,775,709103222
23,779,533204632
24,791,2077658817
25,794,951226070
26,801,1960709862
27,824,3811970920
28,848,2651459571
29,875,2889224323
30,882,2190413995
31,887,3918336191
32,901,4263645427
33,903,1302073591
34,927,3162837314
35,939,2763854213
36,968,3645379083
37,976,2207093323
38,1009,3884454603
39,1020,644322065
40,1041,1871221615
41,1133,4261680428
42,1161,3745584548
43,1163,485463469
44,1238,3653441222
45,1288,4082505640
46,1291,1135286194
47,1338,1173690507
48,1349,3491109101
49,1357,3542456614
50,1364,2401376579
51,1601,1653808729
52,1621,422715066
53,1705,2260050019
54,1748,1156227325
55,1769,999334238
56,1796,1019060765
57,1828,3424035455
58,1860,1361552208
59,1864,994485099
60,1920,2353112200
61,2024,2799150672
62,2109,1242441703
63,2116,2245273601
64,2142,199993489
65,2171,3537119515
66,2188,3982076256
67,2315,4216335232
68,2350,2976033787
69,2392,2519051484
70,2393,1891839201
71,2478,2459741777
72,2568,2099392523
73,2733,1549284008
74,2759,864662311
75,2770,1307554649
76,2789,1667216302
77,2811,98513984
78,2854,1898886445
79,2860,3983062349
80,2879,3522868673
81,2924,3044292246
82,2931,1197881008
83,2999,1459140616
84,3014,4038637638
85,3018,2245277810
86,3063,2576365876
87,3066,10565946
88,3070,655210826
89,3084,3537123720
90,3141,3894393489
91,3170,3194239760
92,3200,3665214363
93,3210,2800499652
94,3254,2414394523
95,3256,3999906991
96,3279,3272195334
97,3306,2994748777
98,3342,3279502858
99,3421,3044392905
100,3441,2077933625
101,3468,1307459754
102,3522,2584330670
103,3548,2659402277
104,3637,1352844233
105,3765,3378300490
106,3800,1570555611
107,3820,1101907775
108,3836,1510328189
109,3844,3191654306
110,3859,973883366
111,3882,2945108068
112,3895,4036774035
113,3930,1429883190
114,3934,2223687999
115,3945,281069966
116,4070,1352059878
117,4081,3692055567
118,4106,3855436952
119,4149,1503972698
120,4209,2649902721
121,4243,3423751990
122,4260,1510461303
123,4313,668520641
124,4322,2342113506
125,4349,3495088487
126,4353,2041434490
127,4474,216093577
128,4517,1547949149
129,4540,1334400161
130,4562,2529809651
131,4564,442029301
132,4589,3217380708
133,4592,3124581743
134,4627,853890546
135,4705,669243201
136,4721,1143330688
137,4722,882399112
138,4771,3873527856
139,4778,2245384272
140,4798,2827868305
141,4893,1685248591
142,4897,1022974558
143,4906,570546812
144,4923,2944555726
145,4928,1583799011
146,4946,3111934756
147,4953,2560252747
148,4967,2968968094
149,4970,2092489639
150,4991,2246728737
151,5006,161963127
152,5010,847961216
153,5112,1156374099
154,5170,3218693969
155,5223,4008337421
156,5364,720822897
157,5384,864674487
158,5413,3975275337
159,5462,3985630251
160,5488,3812025495
161,5512,1421305107
162,5522,2117068077
163,5527,3346588979
164,5531,3579962709
165,5541,3860260262
166,5593,2374592198
167,5665,68675643
168,5832,2246699815
169,5850,854518651
170,5974,1167322652
171,6020,1790668568
172,6021,2473389857
173,6028,1733062447
174,6030,1961848637
175,6094,2222715027
176,6124,1298690312
177,6176,3356914167
178,6260,2538763106
179,6272,2569860001
180,6303,4093441074
181,6328,2725377174
182,6367,4194366826
183,6394,2995451318
184,6429,979465845
185,6467,3181934386
186,6566,3002759401
187,6610,1054767590
188,6639,864942730
189,6649,2246703798
190,6671,1173125914
191,6814,1169653237
192,6858,290455253
193,6859,4121755354
